,title,kg price,price,time
0,PRIOR KYLLING NUGGETS,"290 g • kr 168,97/kg",kr 49,Søndag
1,TINE KREMTOPP,250 ml • kr 156/l,kr 39,Søndag
2,Utvaglte Middager Fra Fjordland,"350 g • kr 114,29/kg",kr 40,Søndag
3,"CHEERIOS HAVRE, NESQUIK, FITNESS OG CHEERIOS MULTI FROKOSTBLANDINGER","375 g • kr 93,33/kg",kr 35,Søndag
4,MONSTER OG BURN,"2x0,5 l • kr 35/l",kr 35,Søndag
5,Tomatbønner,"410 g • kr 26,59/kg","kr 10,90",Søndag
6,TORTILLAS 8 PK,"320 g • kr 43,44/kg","kr 13,90",Søndag
7,GRØNNSÅPE,"750 ml • kr 24,67/l","kr 18,50",Søndag
8,KLØVER GÅRDSEGG,"6 stykker • kr 3,33/hver",kr 20,Søndag
9,CASTELLO WHIPPED,125 g • kr 160/kg,kr 20,Søndag
10,CASTELLO WHITE M/CHILI OG CASTELLO BLA,150 g • kr 200/kg,kr 30,Søndag
11,NORVEGIA ORIGINAL,"830 g • kr 95,18/kg",kr 79,Søndag
12,PRIOR OSTEPANETTER,"480 g • kr 143,75/kg",kr 69,Søndag
13,Gilde Ostegrill,"480 g • kr 88,54/kg","kr 42,50",Søndag
14,LAM STRIMLET KJØTT,250 g • kr 280/kg,kr 70,Søndag
15,SVIN STRIMLET KJØTT,250 g • kr 140/kg,kr 35,Søndag
16,STORFE STRIMLET KJØTT,250 g • kr 280/kg,kr 70,Søndag
17,STORFE GRYTEKJØTT,250 g • kr 240/kg,kr 60,Søndag
18,"TINE Yoghurt Vanilje, Skogsbær, Kirsbær og Naturell",500 g • kr 40/kg,kr 20,Søndag
19,Skinke,"200 g • kr 174,50/kg","kr 34,90",Søndag
20,VÅRRULL M/KYLLING,"4x100 g • kr 93,75/kg","kr 37,50",Søndag
21,FREIA SOLBÆRTODDY,"320 g • kr 217,19/kg","kr 69,50",Søndag
22,DUSJGELE,"500 ml • kr 35,80/l","kr 17,90",Søndag
23,Hjertesalat,2 stykker • kr 10/hver,kr 20,Søndag
24,FISKEGRATENG,"450 stykker • kr 0,05/hver","kr 20,90",Søndag
25,MARIEKJEKS,"2x200 g • kr 36,25/kg","kr 14,50",Søndag
26,TACOSKJELL,"135 g • kr 169,63/kg","kr 22,90",Søndag
27,KLØVER KORNBRØD,750 g • kr 40/kg,kr 30,Søndag
28,"Mills Ovnsbakt Leverpostei, Baconpostei og Pepperbaconpostei","185 g • kr 135,14/kg",kr 25,Søndag
29,GULLSALAMI,"150 g • kr 326,67/kg",kr 49,Søndag
30,Hvitløksbaguetter,"350 g • kr 51,14/kg","kr 17,90",Søndag
31,FISKEPINNER,450 g • kr 42/kg,"kr 18,90",Søndag
32,KRONE-IS SJOKOLADE,"6 stykker • kr 5,48/hver","kr 32,90",Søndag
33,MELKESJOKOLADE,"200 g • kr 94,50/kg","kr 18,90",Søndag
34,PIZZASNURR,125 g • kr 160/kg,kr 20,Søndag
35,TØYMYKNER FRISK,"1 l • kr 10,50/l","kr 10,50",Søndag
36,PULVERKAFFE,"200 g • kr 149,50/kg","kr 29,90",Søndag
37,"Kims Potetgull Salt Crunch, Pepper Punch, Paprika Kick, og Mexican Fiesta",2x200 g • kr 125/kg,kr 50,Søndag
38,Utvalgte Nidar Sjokoladebarer,2 stykker • kr 15/hver,kr 30,Søndag
39,REGIA SJOKOLADEDRIKK,"320 g • kr 124,69/kg","kr 39,90",Søndag
40,Miniplommetomater Shaker,250 g • kr 60/kg,kr 15,Søndag
41,RUCCULA,"75 g • kr 133,33/kg",kr 10,Søndag
42,GRANDIOSA Hjertepizza,"485 g • kr 102,89/kg","kr 49,90",Søndag
43,"KAVLI MAGEROST SKINKE, JALAPENO OG KYLLING","175 g • kr 171,43/kg",kr 30,Søndag
44,SNÅL JUICE,"3 l • kr 26,33/l",kr 79,Søndag
45,Bremykt Mykere,500 g • kr 78/kg,kr 39,Søndag
