,title,kg price,price,time
0,COOP KYLLINGBOLLER,"500 g • kr 103,80/kg","kr 51,90",Søndag
1,COOP FRA HAVET LETTSALTET TORSK,"4x125 g • kr 193,80/kg","kr 96,90",Søndag
2,Coca-Cola,"1,5 l • kr 16,60/l","kr 24,90",Søndag
3,LEKI MOBILTILBEHØR,"2 stykker • kr 49,50/hver",kr 99,Søndag
4,LOFOTEN HELSPRØ FISKEBURGER,"360 g • kr 149,78/kg","kr 53,92",Søndag
5,TINE FLØTEMYSOST/GUDBRANDSDALSOST,1 kg • kr 99/kg,kr 99,Søndag
6,FREIA SMAKFULL,"2x270-320 g • maks kr 129,63/kg",kr 70,Søndag
7,COOP VITAMIN,2x20 g • kr 1 000/kg,kr 40,Søndag
8,COOP PASTA,2x500 g • kr 35/kg,kr 35,Søndag
9,COOP TORTELLONI,2x250 g • kr 100/kg,kr 50,Søndag
10,COOP MORGENSTYKKER 8 PK,"2x560 g • kr 49,11/kg",kr 55,Søndag
11,COOP AVFALLSPOSE,2 stykker • kr 17/hver,kr 34,Søndag
12,COOP BAGUETTES 2 PK,"2x350 g • kr 57,14/kg",kr 40,Søndag
13,ÄNGLAMARK KOKOSMELK,"2x330 ml • kr 39,39/l",kr 26,Søndag
14,COOP KAFFE,2x250 g • kr 150/kg,kr 75,Søndag
15,ÄNGLAMARK DRIKK,"2x1 l • kr 22,50/l",kr 45,Søndag
16,COOP FLYTENDE VASKEMIDDEL,"2x750 ml • kr 43,33/l",kr 65,Søndag
17,FREIA MELKEHJERTER,"130 g • kr 383,85/kg","kr 49,90",Søndag
18,GILDE GO & MAGRERE SERVELAT,100 g • kr 114/kg,"kr 11,40",Søndag
19,DELIKAT REKESALAT,"320 g • kr 111,25/kg","kr 35,60",Søndag
20,DELIKAT ITALIENSK SALAT,"320 g • kr 77,19/kg","kr 24,70",Søndag
21,FARRIS FRUS,"1,5 l • kr 13,93/l","kr 20,90",Søndag
22,Coop hjertesalat,"2 stykker • kr 12,50/hver",kr 25,Søndag
23,Søtpotet,1 kg • kr 30/kg,kr 30,Søndag
24,Freia storplater,"4x150-200 g • maks kr 166,67/kg",kr 100,Søndag
25,BLÅBÆR I SHAKER,"225 g • kr 132,89/kg","kr 29,90",Søndag
26,COCA-COLA UTEN SUKKER /ORIGINAL/URGE 10 BOKSER,"10x0,33 l • kr 23,94/l",kr 79,Søndag
27,FREIA SMÅSJOKOLADER,"43-82 g • maks kr 232,56/kg",kr 10,Søndag
28,HATTING FROSNE RUNDSTYKKER 6 STK,"2x360-420 g • maks kr 76,39/kg",kr 55,Søndag
29,SOLIDOX TANNKREM,"2x75 ml • kr 366,67/l",kr 55,Søndag
30,COOP SPEKESKINKE,2x100 g • kr 325/kg,kr 65,Søndag
31,COOP OVNSBAKT LEVERPOSTEI,"2x185 g • kr 97,30/kg",kr 36,Søndag
32,COOP SYLTETØY,2x500 g • kr 50/kg,kr 50,Søndag
33,ÄNGLAMARK LETTMELK/HELMELK,"2x1 l • kr 19,50/l",kr 39,Søndag
34,COOP FRII,"2x0,75 l • kr 25,33/l",kr 38,Søndag
35,COOP VEGETARDAG FALAFEL,"180 g • kr 221,67/kg","kr 39,90",Søndag
36,COOP STORFEKJØTT,"300 g • kr 266,33/kg","kr 79,90",Søndag
37,LU TUC KJEKS,"3x100 g • kr 116,67/kg",kr 35,Søndag
38,SANTA MARIA TORTILLA 12 PK,"2x480 g • kr 47,92/kg",kr 46,Søndag
39,COOP NØTTEMIX,2x150-175 g • maks kr 200/kg,kr 60,Søndag
40,COOP PROTEINBAR,2x50 g • kr 320/kg,kr 32,Søndag
41,COOP FAMILIENS FISKEKAKE,2x400 g • kr 80/kg,kr 64,Søndag
42,COOP PANERT TORSK,"2x320 g • kr 154,69/kg",kr 99,Søndag
43,COOP FERDIGRETTER,"2x350 g • kr 100,00/kg",kr 70,Søndag
