,title,kg price,price,time
0,COOP MEGAS LOLLIPOP KYLLINGVINGER,100 g • kr 99/kg,"kr 9,90",Lørdag
1,COOP MEGAS PIZZABAGUETTE,"245 g • kr 162,86/kg","kr 39,90",Lørdag
2,TINE SJOKOMELK,"1 l • kr 19,90/l","kr 19,90",Lørdag
3,PÆRER,"1 kg • kr 24,90/kg","kr 24,90",Lørdag
4,GULRØTTER,"750 g • kr 26,53/kg","kr 19,90",Lørdag
5,EPLER,"1 kg • kr 24,90/kg","kr 24,90",Lørdag
6,GOURMET PERLE,"680 g • kr 73,38/kg","kr 49,90",Lørdag
7,COOP SCAMPI,"270 g • kr 258,89/kg","kr 69,90",Lørdag
8,L’OR KAFFEKAPSLER 10 STK,"10 stykker • kr 4,99/hver","kr 49,90",Lørdag
9,BATTERY,"0,5 l • kr 29,80/l","kr 14,90",Lørdag
10,Freia storplater,"4x150-200 g • maks kr 166,67/kg",kr 100,Lørdag
11,SYNNØVE GRESK YOGHURT,"750 g • kr 79,87/kg","kr 59,90",Lørdag
12,SKREI,1 kg • kr 139/kg,kr 139,Lørdag
13,COOP MINIBAGUETTER,"750 g • kr 39,87/kg","kr 29,90",Lørdag
14,COOP KONGEBRØD,"900 g • kr 38,78/kg","kr 34,90",Lørdag
15,COOP MEGAS BLOMKÅLSALAT,100 g • kr 159/kg,"kr 15,90",Lørdag
16,COOP MEGAS SKREIBURGER,100 g • kr 149/kg,"kr 14,90",Lørdag
17,ÄNGLAMARK ROTMIKS,"1 kg • kr 39,90/kg","kr 39,90",Lørdag
18,GRUYÈRE 12 MND,"150 g • kr 532,67/kg","kr 79,90",Lørdag
19,STEKT OG SKIVET KYLLINGFILET,"200 g • kr 249,50/kg","kr 49,90",Lørdag
20,YBARRA RAPS-/OLIVENOLJE,"750 ml • kr 79,87/l","kr 59,90",Lørdag
21,GOURMET MON PETIT,"300 g • kr 99,67/kg","kr 29,90",Lørdag
22,COOP SPELTBRØD,"700 g • kr 57,00/kg","kr 39,90",Lørdag
23,COOP MEGAS HØYRYGG/ BOG U/BEN,1 kg • kr 169/kg,kr 169,Lørdag
24,COOP DIAMANTSTYKKER,"480 g • kr 62,29/kg","kr 29,90",Lørdag
25,LINDT EXCELLENCE,100 g • kr 299/kg,"kr 29,90",Lørdag
26,TINE LETTMELK MED SMAK 1 L,"1 l • kr 23,30/l","kr 23,30",Lørdag
27,TINE FLØTEMYSOST/GUDBRANDSDALSOST,1 kg • kr 99/kg,kr 99,Lørdag
28,COOP KYLLING LÅRFILET,"600 g • kr 133,17/kg","kr 79,90",Lørdag
29,TOFFIFEE,"125 g • kr 279,20/kg","kr 34,90",Lørdag
30,DREAMIES,"60 g • kr 331,67/kg","kr 19,90",Lørdag
31,WHISKAS STICKS,"18 g • kr 716,67/kg","kr 12,90",Lørdag
