,title,kg price,price,time
0,EPLER PINK LADY 6 PK,"6 stykker • kr 6,65/hver","kr 39,90",Søndag
1,TINE YOGHURT 4 PK,"4 stykker • kr 5,73/hver","kr 22,90",Søndag
2,BROKKOLI,2 stykker • kr 15/hver,kr 30,Søndag
3,SUNNIVA EPLEJUICE,"1,75 l • kr 22,80/l","kr 39,90",Søndag
4,KIKKOMAN SOYASAUS,"150 ml • kr 299,33/l","kr 44,90",Søndag
5,COOP FESTKAKE,"600 g • kr 149,83/kg","kr 89,90",Søndag
6,TINE FLØTEMYSOST/ GUDBRANDSDALSOST,1 kg • kr 99/kg,kr 99,Søndag
7,FREIA MELKEHJERTER,"130 g • kr 306,92/kg","kr 39,90",Søndag
8,HATTING GROVE RUNDSTYKKER,"600 g • kr 58,17/kg","kr 34,90",Søndag
9,MONSTER,"2x0,5 l • kr 40/l",kr 40,Søndag
10,KLEMENTINER,"1 kg • kr 29,90/kg","kr 29,90",Søndag
11,COCA-COLA 10 PK,"10x0,33 l • kr 24,21/l","kr 79,90",Søndag
12,Freia storplater,"4x150-200 g • maks kr 166,67/kg",kr 100,Søndag
13,PEPSI MAX 4 PK,"4x1,5 l • kr 12,48/l","kr 74,90",Søndag
14,TORO VAFLER,"246 g • kr 80,89/kg","kr 19,90",Søndag
15,UTVALGTE OREO,2 stykker • kr 25/hver,kr 50,Søndag
16,COOP SPRØ POTETSTAVER/ POMMES FRITES,"450 g • kr 55,33/kg","kr 24,90",Søndag
17,SOPPS SPAGHETTI,"500 g • kr 39,80/kg","kr 19,90",Søndag
18,COOP SNACKPAPRIKA,"300 g • kr 76,33/kg","kr 22,90",Søndag
19,SOFT FLORA STEKE & BAKE,"500 g • kr 73,80/kg","kr 36,90",Søndag
