,title,kg price,price,time
0,MULTIVITAMIN,3x2 l • kr 10/l,kr 60,Lørdag
1,NUDLER,"65 g • kr 153,85/kg",kr 10,Lørdag
2,GODT TIL KAFFEN,500 g • kr 80/kg,kr 40,Lørdag
3,NØTTER,"450-500 g • maks kr 111,11/kg",kr 50,Lørdag
4,KJÆRLIGHET,6x10 g • kr 500/kg,kr 30,Lørdag
5,SUNSILK,750 ml • kr 80/l,kr 60,Lørdag
6,ASAN INTIMVASK,"500 ml • kr 99,80/l","kr 49,90",Lørdag
7,NIVEA DUSJSÅPE,"750 ml • kr 46,67/l",kr 35,Lørdag
8,VEET HÅRFJERNINGSKREM,200 ml • kr 150/l,kr 30,Lørdag
9,PUMPESÅPE,500 ml • kr 20/l,kr 10,Lørdag
10,LANO PARFYMEFRI,"250-300 ml • maks kr 99,60/l","kr 24,90",Lørdag
11,DEFINE HÅRVOKS,"80 ml • kr 998,75/l","kr 79,90",Lørdag
12,TELYS,2 stykker • kr 85/hver,kr 170,Lørdag
13,BOLSIUS DUFTOLJE,"45 ml • kr 1 331,11/l","kr 59,90",Lørdag
14,Påskehare fylt m/godteri,"265 g • kr 320,38/kg","kr 84,90",Lørdag
15,Sjokoladekuler m/lakris,"2 stykker • kr 34,95/hver","kr 69,90",Lørdag
16,ENGANGSGLASS CHAMPAGNE,1 dl • kr 500/l,kr 50,Lørdag
17,AKRYLMALING,"120 ml • kr 416,67/l",kr 50,Lørdag
18,WD-40,400 ml • kr 250/l,kr 100,Lørdag
19,Vaffelmix,"248 g • kr 100,40/kg","kr 24,90",Lørdag
20,PEPSI MAX,"9x0,375 l • kr 23,67/l","kr 79,90",Lørdag
21,HERRLJUNGA CIDER,1 l • kr 30/l,kr 30,Lørdag
22,SUNNMØRE HERMETIKK,400-800 g • maks kr 175/kg,kr 70,Lørdag
23,MAIS,"3x160 g • kr 52,08/kg",kr 25,Lørdag
24,TORO RETT I KOPPEN,20 g • kr 500/kg,kr 10,Lørdag
25,KANELGIFFLAR,"260 g • kr 96,15/kg",kr 25,Lørdag
26,GODTERI,3x100-160 g • maks kr 200/kg,kr 60,Lørdag
27,TWIST,"490 g • kr 122,45/kg",kr 60,Lørdag
28,SJOKOLADE MINIS,"227 g • kr 176,21/kg",kr 40,Lørdag
29,PRINGLES,"4x40 g • kr 187,50/kg",kr 30,Lørdag
30,TALLERKENER,2 stykker • kr 25/hver,kr 50,Lørdag
31,BADEBOMBER,50 g • kr 1 400/kg,kr 70,Lørdag
32,PARFYME,"15 ml • kr 1 000,00/l",kr 15,Lørdag
33,BOBLEPLAST PÅ RULL,2 stykker • kr 50/hver,kr 100,Lørdag
34,Friele frokostkaffe,"500 g • kr 179,80/kg","kr 89,90",Lørdag
35,FREIA SJOKOLADE,4 stykker • kr 25/hver,kr 100,Lørdag
36,NUDLER,"90 g • kr 111,11/kg",kr 10,Lørdag
37,MUFFINS,100 g • kr 100/kg,kr 10,Lørdag
38,KVIKK LUNSJ,"282 g • kr 195,04/kg",kr 55,Lørdag
39,POLLY PEANØTTER,"330 g • kr 75,76/kg",kr 25,Lørdag
40,DESINFEKSJON,"300 ml • kr 33,33/l",kr 10,Lørdag
41,VASKEPULVER,"8 kg • kr 12,50/kg",kr 100,I morgen
42,VASKEPULVER,"9,6 kg • kr 20,83/kg",kr 200,I morgen
43,SPRAYMALING,400 ml • kr 125/l,kr 50,Lørdag
44,KJEKS,"120-175 g • maks kr 125,00/kg",kr 15,Lørdag
45,GODT TIL KAFFEN,125 g • kr 160/kg,kr 20,Lørdag
46,SMÅGODT,100 g • kr 100/kg,kr 10,Lørdag
47,MAARUD,"130-140 g • maks kr 230,77/kg",kr 30,Lørdag
