,title,kg price,price,time
0,Elvital shampo/balsam,"200-250 ml • maks kr 149,50/l","kr 29,90",Lørdag
1,Melkehjerter/Premiumhjerter,"130 g • kr 306,92/kg","kr 39,90",Lørdag
2,Blåbær,"125 g • kr 199,20/kg","kr 24,90",Lørdag
3,Grandiosa,3x500-575 g • maks kr 66/kg,kr 99,Lørdag
4,Iste fersken,"0,5 l • kr 29,80/l","kr 14,90",Lørdag
5,Stjernebacon,"140 g • kr 213,57/kg","kr 29,90",Lørdag
6,KOMMENDE,Roser,kr 99,I morgenSøndag
7,Maarud Potetgull,"200-250 g • maks kr 149,50/kg","kr 29,90",Lørdag
8,Kvikk Lunsj,"141 g • kr 176,60/kg","kr 24,90",Lørdag
9,Plommer,"300 g • kr 99,67/kg","kr 29,90",Lørdag
10,Ambrosia epler,"6 stykker • kr 5,48/hver","kr 32,90",Lørdag
11,Mors grovbrød,"750 g • kr 39,87/kg","kr 29,90",Søndag
12,Wienerbakst,"2x70-106 g • maks kr 214,29/kg",kr 30,Lørdag
13,Solstykker/Gullkornbriks/ Valmuerundstykker,2x75 g • kr 100/kg,kr 15,Lørdag
14,Kjøttboller,"630 g • kr 110,95/kg","kr 69,90",29. februar
15,Biffstrimler,"300 g • kr 233,00/kg","kr 69,90",29. februar
16,Ørretfilet,"2x140 g • kr 249,64/kg","kr 69,90",29. februar
17,Pulled Pork,"500 g • kr 139,80/kg","kr 69,90",29. februar
18,Karbonader,"720 g • kr 97,08/kg","kr 69,90",29. februar
19,Tikka Masala,"450 g • kr 155,33/kg","kr 69,90",29. februar
20,Tomatsuppe,"91-119 g • maks kr 109,89/kg",kr 10,Lørdag
21,Pannekaker,"196 g • kr 101,53/kg","kr 19,90",Lørdag
22,Biffstrimler,"300 g • kr 233,00/kg","kr 69,90",Lørdag
23,Brokkolitopper,"450 g • kr 33,11/kg","kr 14,90",Lørdag
24,Basmatiris,"1 kg • kr 49,90/kg","kr 49,90",Lørdag
25,Remulade,"160 g • kr 155,63/kg","kr 24,90",Lørdag
26,Spekeskinke,"80 g • kr 436,25/kg","kr 34,90",Lørdag
27,Kremgo smøreoster,"125 g • kr 119,20/kg","kr 14,90",Lørdag
28,Bilar/Salt sild,100-160 g • maks kr 199/kg,"kr 19,90",Lørdag
29,Ovnsbakt leverpostei,"180-190 g • maks kr 138,33/kg","kr 24,90",Lørdag
