,title,kg price,price,time
0,SKREIKAKER,"350 g • kr 85,43/kg","kr 29,90",10. mars
1,MØLLEHJUL FULLKORN,"420 g • kr 66,43/kg","kr 27,90",10. mars
2,MYK & RUND,"450 g • kr 55,33/kg","kr 24,90",10. mars
3,APPELSINJUICE,"1,5 l • kr 13,27/l","kr 19,90",Søndag
4,RØKT ØRRET,100 g • kr 359/kg,"kr 35,90",Søndag
5,SYNNØVE REVET,"400 g • kr 82,25/kg","kr 32,90",Søndag
6,HUSMAN KNEKKEBRØD,"520 g • kr 38,27/kg","kr 19,90",Søndag
7,SKYR MINI,"90 g • kr 532,22/kg","kr 47,90",Søndag
8,LETTMELK 1%,"1 l • kr 20,90/l","kr 20,90",Søndag
9,KJØTTDEIG,400 g • kr 110/kg,kr 44,Søndag
10,ANANASBITER,"3x230 g • kr 50,58/kg","kr 34,90",Søndag
11,HAVREDRIKK,"1 l • kr 23,90/l","kr 23,90",Søndag
12,SOLSIKKEOLJE,"1 l • kr 29,10/l","kr 29,10",Søndag
13,SOYADRIKK,"1 l • kr 23,10/l","kr 23,10",Søndag
14,POTETSALAT,"400 g • kr 63,50/kg","kr 25,40",Søndag
15,KYLLINGLÅR,"1,12 kg • kr 119,64/kg",kr 134,Søndag
16,GRILLPØLSER,"600 g • kr 91,50/kg","kr 54,90",Søndag
17,MILO TØYVASK,"595 ml • kr 75,46/l","kr 44,90",Søndag
18,SJOKOMELK,"1 l • kr 19,90/l","kr 19,90",Søndag
19,KETCHUP,"1 kg • kr 14,60/kg","kr 14,60",Søndag
20,VEGGEN SPELT,"420 g • kr 88,33/kg","kr 37,10",Søndag
21,BLÅBÆR,"400 g • kr 68,75/kg","kr 27,50",Søndag
22,"GRØNNE, RØDE DRUER","500 g • kr 59,80/kg","kr 29,90",Søndag
23,LAKSEFILET,"400 g • kr 139,75/kg","kr 55,90",Søndag
24,MELLOMBAR,"138 g • kr 107,97/kg","kr 14,90",10. mars
25,KIMS POTETGULL,"200 g • kr 124,50/kg","kr 24,90",10. mars
26,EPLEJUICE,"1,5 l • kr 13,27/l","kr 19,90",Søndag
27,MAGEROST JALAPENO,"175 g • kr 125,14/kg","kr 21,90",Søndag
28,PIZZABUNN XXL,"550 g • kr 28,73/kg","kr 15,80",Søndag
29,PIZZA GRANDIOSA,"575 g • kr 52,00/kg","kr 29,90",Søndag
30,GULOST,1 kg • kr 89/kg,kr 89,Søndag
31,TORTILLA SOFT,"6x370 g • kr 6,31/kg",kr 14,Søndag
32,TOMATSUPPE,"119 g • kr 140,34/kg","kr 16,70",Søndag
33,STRANDASKINKE,"135 g • kr 401,48/kg","kr 54,20",Søndag
34,VANILJESAUS,"1 l • kr 29,20/l","kr 29,20",Søndag
35,HVETEMEL,"2 kg • kr 9,95/kg","kr 19,90",Søndag
36,HAMBURGER,"4x100 g • kr 197,50/kg",kr 79,Søndag
37,BURGER BIG BEEF,"2x180 g • kr 180,28/kg","kr 64,90",Søndag
38,LOMPER,"10x260 g • kr 2,65/kg","kr 6,90",Søndag
39,MAISKAKER CHEESE,25 g • kr 396/kg,"kr 9,90",Søndag
40,FISKEPUDDING,"650 g • kr 47,54/kg","kr 30,90",Søndag
41,SVIN BIFFSTRIMLER,"500 g • kr 159,80/kg","kr 79,90",Søndag
42,TØYMYKNER,"500 ml • kr 44,80/l","kr 22,40",Søndag
43,GARNIER CLEANSING,"400 ml • kr 144,75/l","kr 57,90",Søndag
44,GILLETTE SKUM,"196 ml • kr 91,33/l","kr 17,90",Søndag
45,SMÅRETTBACON,"2x90 g • kr 166,11/kg","kr 29,90",Søndag
46,FRESH TECH SKYLLEMIDDEL,"500 ml • kr 47,80/l","kr 23,90",Søndag
47,ROLL ON DEO,50 ml • kr 458/l,"kr 22,90",Søndag
