,title,kg price,price,time
0,CEVITA APPELSINER,"1 kg • kr 24,90/kg","kr 24,90",I dag
1,Skreiburger,"4x110 g • kr 158,86/kg","kr 69,90",I dag
2,VÅRLØK,"150 g • kr 132,67/kg","kr 19,90",I dag
3,Fersk norsk Angusburger,"130 g • kr 191,54/kg","kr 24,90",I dag
4,NYSTEKT ANNIE BRØD,"720 g • kr 41,67/kg",kr 30,I dag
5,Fersk karbonadedeig,"400 g • kr 149,75/kg","kr 59,90",I dag
6,Norske poteter,"2 kg • kr 17,45/kg","kr 34,90",I dag
7,ALI KAFFE,"250 g • kr 119,60/kg","kr 29,90",I dag
8,Bacalaofisk/-gryte,"400-900 g • maks kr 322,50/kg",kr 129,I dag
9,Eplemost,3 l • kr 43/l,kr 129,I dag
10,PIZZA GRANDIOSA,"575 g • kr 52,00/kg","kr 29,90",I dag
11,Karbonader,100 g • kr 200/kg,kr 20,I dag
12,SKREIBURGER,"4x110 g • kr 158,86/kg","kr 69,90",I dag
13,Ekte revet ost,"250-300 g • maks kr 179,60/kg","kr 44,90",I dag
14,FERSK KARBONADEDEIG,"400 g • kr 149,75/kg","kr 59,90",I dag
15,Jarlsberg,"700 g • kr 121,43/kg",kr 85,I dag
16,Vaffel/pannekake mix,"196-246 g • maks kr 101,53/kg","kr 19,90",I dag
17,Freia sjokolade,"140-180 g • maks kr 235,00/kg","kr 32,90",I dag
18,Inspira iskrem,"0,9 l • kr 77,67/l","kr 69,90",I dag
19,Sørlandschips,"180-200 g • maks kr 149,44/kg","kr 26,90",I dag
20,Ferske fiskekaker,"95 g • kr 157,89/kg",kr 15,I dag
