,title,kg price,price,time
0,Freia storplater,"4x150-200 g • maks kr 166,67/kg",kr 100,Lørdag
1,COCA-COLA 10 PK,"10x0,33 l • kr 24,21/l","kr 79,90",Lørdag
2,MONSTER,"2x0,5 l • kr 40/l",kr 40,Lørdag
3,TINE YOGHURT 4 PK,"4 stykker • kr 5,73/hver","kr 22,90",Lørdag
4,TINE FLØTEMYSOST/ GUDBRANDSDALSOST,1 kg • kr 99/kg,kr 99,Lørdag
5,PÆRER,"1 kg • kr 29,90/kg","kr 29,90",Lørdag
6,COOP CASHEWNØTTER,2x150 g • kr 200/kg,kr 60,Lørdag
7,COOP CHILINØTTER,"2x200 g • kr 137,50/kg",kr 55,Lørdag
8,Kos pudding 2 pk,"310 g • kr 80,32/kg","kr 24,90",Lørdag
9,Freia twist,"330 g • kr 196,67/kg","kr 64,90",Lørdag
10,DONUTS/BERLINERBOLLER,3 stykker • kr 10/hver,kr 30,Lørdag
11,KLEMENTINER,"1 kg • kr 29,90/kg","kr 29,90",Lørdag
12,"Pr. stk. For prisdetaljer, vennligst se hyllekant.",2 stykker • kr 15/hver,kr 30,Lørdag
13,Coop norsk strimlet svinekjøtt,"350 g • kr 142,57/kg","kr 49,90",Lørdag
14,Coop Stek & bak plantemargarin,"500 g • kr 49,80/kg","kr 24,90",Lørdag
15,Coop frøknekkebrød,"200 g • kr 174,50/kg","kr 34,90",Lørdag
16,COOP BACONTERNINGER,"2x200 g • kr 187,50/kg",kr 75,Lørdag
17,COOP CHOCOLATE PEANUTS,"2x180 g • kr 166,67/kg",kr 60,Lørdag
