,title,kg price,price,time
0,Biffstrimler,"300 g • kr 233,00/kg","kr 69,90",29. februar
1,Sjokoladepudding/ Vaniljesaus,"0,5 l • kr 80/l",kr 40,29. februar
2,Wienerpølser,"520-560 g • maks kr 134,42/kg","kr 69,90",29. februar
3,Iste fersken,"0,5 l • kr 33,80/l","kr 16,90",29. februar
4,Supermix/ Superchips,"130-140 g • maks kr 230,00/kg","kr 29,90",29. februar
5,Crispi salat,"150 g • kr 199,33/kg","kr 29,90",29. februar
6,Bacon-/ Skinkeost,"175 g • kr 170,86/kg","kr 29,90",29. februar
7,Mors grovbrød,"750 g • kr 39,87/kg","kr 29,90",29. februar
8,Boller bakemiks,"1 kg • kr 19,90/kg","kr 19,90",29. februar
9,Jubelsalami,100 g • kr 349/kg,"kr 34,90",29. februar
10,Kvikk Lunsj,"141 g • kr 212,06/kg","kr 29,90",29. februar
11,Tikka Masala,"450 g • kr 155,33/kg","kr 69,90",29. februar
12,"Monster og Burn 0,5 l","2x0,5 l • kr 40/l",kr 40,29. februar
13,BigOne pizza,"590 g • kr 101,53/kg","kr 59,90",29. februar
14,Solstykke/Gullkornbriks Valmuerundstykke,2x75 g • kr 100/kg,kr 15,31. desember
15,Litago,"0,5 l • kr 33,80/l","kr 16,90",29. februar
16,Stjernebacon,"140 g • kr 249,29/kg","kr 34,90",29. februar
17,Solstykke/Gullkornbriks Valmuerundstykke,2x75 g • kr 100/kg,kr 15,29. februar
18,Pulled Pork,"500 g • kr 139,80/kg","kr 69,90",29. februar
19,Ørretfilet,"2x140 g • kr 249,64/kg","kr 69,90",29. februar
20,Karbonader,"720 g • kr 97,08/kg","kr 69,90",29. februar
21,Smårettskinke,"2x90 g • kr 193,89/kg","kr 34,90",29. februar
22,Blåbær,"125 g • kr 319,20/kg","kr 39,90",29. februar
23,Kjøttboller,"630 g • kr 110,95/kg","kr 69,90",29. februar
