,title,kg price,price,time
0,RIS & KYLLING,"185 g • kr 145,41/kg","kr 26,90",I dag
1,KYLLING VINGEKLUBBER,"300 g • kr 99,67/kg","kr 29,90",I dag
2,YT YOGHURT VANILJE,"430 g • kr 60,23/kg","kr 25,90",I dag
3,TINEMELK LETT 1%,"1,75 l • kr 18,80/l","kr 32,90",I dag
4,YOGHURT NATURELL,"850 g • kr 31,65/kg","kr 26,90",I dag
5,HAVRE POLAR,"450 g • kr 82,22/kg",kr 37,I dag
6,HUSMAN ØKONOMI,"520 g • kr 38,27/kg","kr 19,90",I dag
7,KNEKKEBRØD SPORT+,225 g • kr 68/kg,"kr 15,30",I dag
8,PÅLEGGSSALATER,"180 g • kr 138,33/kg","kr 24,90",I dag
9,GROVT BRØD,"720 g • kr 27,64/kg","kr 19,90",I dag
10,FROKOSTSKINKE,"2x80 g • kr 218,75/kg",kr 35,I dag
11,YOGHURT 8PK,"8x125 g • kr 34,90/kg","kr 34,90",I dag
12,TORSKFILET,"400 g • kr 297,50/kg",kr 119,I dag
13,MIDDAGSPOTET,"500 g • kr 39,80/kg","kr 19,90",I dag
14,PRODUKTNAVN,"3x1,5 l • kr 10/l",kr 45,I dag
15,GRØT JORDBÆR/EPLE,100 g • kr 209/kg,"kr 20,90",I dag
16,AVOCADO 2PK,"320 g • kr 93,44/kg","kr 29,90",I dag
17,FERSK PIZZABUNN,"550 g • kr 46,73/kg","kr 25,70",I dag
18,GRØT EPLE/QUINOA,100 g • kr 209/kg,"kr 20,90",I dag
19,KJØTTDEIG AV STORFE 14%,"400 g • kr 149,75/kg","kr 59,90",I dag
20,RØD PESTO,"190 g • kr 115,79/kg",kr 22,I dag
21,"SPINAT, RUCCOLA OG BABYLEAF MIX","65 g • kr 229,23/kg","kr 14,90",I dag
22,HAVREGRYN,"2x1,2 kg • kr 14,58/kg",kr 35,25. februar
23,BANANER,"1 kg • kr 22,90/kg","kr 22,90",I dag
24,LØK LØSVEKT,1 kg • kr 15/kg,kr 15,I dag
25,RØDLØK LØSVEKT,1 kg • kr 15/kg,kr 15,I dag
26,POTET LØSVEKT,"1 kg • kr 19,90/kg","kr 19,90",I dag
27,"TOMAT, LØSVEKT","1 kg • kr 39,90/kg","kr 39,90",I dag
28,HAVREBRØD MED SPELT,"700 g • kr 49,86/kg","kr 34,90",I dag
