,title,kg price,price,time
0,Tomater,"1 kg • kr 29,90/kg","kr 29,90",I dag
1,Mors grovbrød,"750 g • kr 39,87/kg","kr 29,90",I dag
2,Castello ost,"150 g • kr 199,33/kg","kr 29,90",I dag
3,Mozzarella ostestenger,100 g • kr 299/kg,"kr 29,90",I dag
4,Melange Flytende,"500 ml • kr 65,80/l","kr 32,90",I dag
5,Pakkede tomater,"300-500 g • maks kr 99,67/kg","kr 29,90",I dag
6,Franske makroner,158 g • kr 500/kg,kr 79,I dag
7,Oreo,"154-157 g • maks kr 161,69/kg","kr 24,90",I dag
8,Butter Chicken m/basmatiris,"460 g • kr 173,70/kg","kr 79,90",I dag
9,Kalkunkorv,"450 g • kr 110,89/kg","kr 49,90",I dag
10,Fiskesuppe,"350 g • kr 114,00/kg","kr 39,90",I dag
11,Biff Stroganoff,"480 g • kr 124,79/kg","kr 59,90",I dag
12,Nakkekotelett 4-pk.,1 kg • kr 99/kg,kr 99,I dag
13,Kjøttkaker,"800 g • kr 99,88/kg","kr 79,90",I dag
14,Gulrot,"750 g • kr 26,53/kg","kr 19,90",I dag
